radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,455,4,10,151355,0,113.540268,22.204056,1000,3,1,1384513282,1408433799,0
UMTS,455,4,5,164666,0,113.545761,22.20076,1000,10,1,1384564034,1385101143,0
UMTS,455,4,5,165883,0,113.54438781738,22.19856262207,1000,5,1,1384564034,1384543946,0
UMTS,455,4,5,165884,0,113.54438781738,22.19856262207,1000,2,1,1384564034,1384543948,0
UMTS,455,4,5,164287,0,113.543211,22.198563,1000,7,1,1384564034,1408433808,0
UMTS,455,4,5,141181,0,113.54301452637,22.19856262207,1000,1,1,1384564034,1384544008,0
UMTS,455,4,5,141178,0,113.54301452637,22.19856262207,1000,2,1,1384564034,1384544019,0
UMTS,455,4,10,164138,0,113.539581,22.204285,1000,30,1,1384653702,1408433799,0
UMTS,455,4,10,169204,0,113.54026794434,22.206802368164,1000,2,1,1384653702,1408433799,0
UMTS,455,4,10,98615,0,113.542622,22.205625,1000,7,1,1384653702,1408433799,0
UMTS,455,4,10,141084,0,113.539963,22.203598,1000,9,1,1384653702,1408433799,0
GSM,455,1,1,104,0,113.53889465332,22.204055786133,1000,3,1,1384653703,1408433799,0
GSM,455,4,1,104,0,113.53889465332,22.204055786133,1000,1,1,1384653703,1384632810,0
UMTS,455,4,10,164731,0,113.53878,22.203827,1000,12,1,1384653703,1408433799,0
UMTS,455,4,10,164141,0,113.538698,22.204252,1000,7,1,1384653703,1408433799,0
UMTS,455,4,5,164371,0,113.5375213623,22.202682495117,1000,2,1,1384653703,1408433799,0
UMTS,455,4,5,164368,0,113.537896,22.202308,1000,11,1,1384653703,1408433799,0
UMTS,455,4,5,141086,0,113.540115,22.202682,1000,9,1,1384653703,1408433799,0
UMTS,455,4,5,164086,0,113.539769,22.202682,1000,11,1,1384653703,1408433799,0
UMTS,455,4,10,164233,0,113.540955,22.203369,1000,4,1,1384653703,1385101123,0
UMTS,455,4,10,170904,0,113.54301452637,22.204055786133,1000,1,1,1384653703,1384633189,0
UMTS,455,4,5,169423,0,113.549881,22.200524,1000,7,1,1384653703,1408433799,0
UMTS,455,4,5,170195,0,113.549881,22.200394,1000,3,1,1384653703,1408433799,0
UMTS,455,4,5,164114,0,113.550911,22.198906,1000,4,1,1384653703,1408433799,0
UMTS,455,4,8,234551,0,113.552555,22.194949,1000,19,1,1384653703,1408433799,0
UMTS,455,4,8,231891,0,113.551804,22.195267,1000,5,1,1384653703,1408433799,0
UMTS,455,4,8,233380,0,113.55217,22.195244,1000,12,1,1384653703,1408433799,0
